Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,0.066820,0.362399,-0.005630,-0.898346,0.000000,0.439290,550.000000,458.493085
1.000000,0.066741,0.285988,-0.006019,-0.998444,0.000000,-0.055763,550.000000,509.580879
1.000000,0.066767,0.449609,-0.006177,-0.966115,0.000000,-0.258113,550.000000,493.080739
1.000000,0.066858,0.327021,-0.005560,-0.849195,0.000000,0.528080,550.000000,433.407700
1.000000,0.066758,0.285673,-0.006139,-0.977807,0.000000,-0.209507,550.000000,499.048325
1.000000,0.067069,0.384226,-0.006614,-0.580496,0.000000,-0.814263,550.000000,296.270749
1.000000,0.066779,0.332269,-0.006219,-0.950618,0.000000,-0.310364,550.000000,485.171529
1.000000,0.067368,0.455112,-0.006744,-0.200279,0.000000,-0.979739,550.000000,102.217244
1.000000,0.066742,0.451190,-0.006025,-0.997952,0.000000,-0.063973,550.000000,509.329554
1.000000,0.066753,0.292297,-0.005831,-0.983090,0.000000,0.183124,550.000000,501.744503
1.000000,0.067041,0.537610,-0.006593,-0.616719,0.000000,-0.787184,550.000000,314.757721
1.000000,0.066797,0.311573,-0.006268,-0.927688,0.000000,-0.373357,550.000000,473.468649
1.000000,0.066759,0.482890,-0.005802,-0.975592,0.000000,0.219590,550.000000,497.917913
1.000000,0.066856,0.277998,-0.005564,-0.852426,0.000000,0.522848,550.000000,435.056961
1.000000,0.066819,0.394559,-0.005631,-0.898951,0.000000,0.438050,550.000000,458.801910
1.000000,0.066740,0.322233,-0.005989,-0.999836,0.000000,-0.018135,550.000000,510.291064
1.000000,0.066741,0.536290,-0.005934,-0.998644,0.000000,0.052064,550.000000,509.682815
1.000000,0.066934,0.301978,-0.005459,-0.753465,0.000000,0.657487,550.000000,384.549931
1.000000,0.066769,0.360209,-0.006186,-0.963194,0.000000,-0.268809,550.000000,491.589899
1.000000,0.066780,0.467585,-0.006221,-0.949678,0.000000,-0.313229,550.000000,484.691722
1.000000,0.066787,0.576205,-0.005706,-0.939716,0.000000,0.341956,550.000000,479.607608
1.000000,0.067056,0.330523,-0.006605,-0.597150,0.000000,-0.802130,550.000000,304.770418
1.000000,0.066965,0.397688,-0.006525,-0.713739,0.000000,-0.700412,550.000000,364.274439
1.000000,0.067275,0.346412,-0.005231,-0.318425,0.000000,0.947948,550.000000,162.516113
1.000000,0.066783,0.520733,-0.006231,-0.945344,0.000000,-0.326074,550.000000,482.480042
1.000000,0.067078,0.537790,-0.005330,-0.570020,0.000000,0.821631,550.000000,290.924101
1.000000,0.066897,0.531667,-0.005505,-0.800602,0.000000,0.599197,550.000000,408.607168
1.000000,0.066775,0.342650,-0.006206,-0.955608,0.000000,-0.294641,550.000000,487.718489
1.000000,0.066745,0.421082,-0.005887,-0.993672,0.000000,0.112318,550.000000,507.145497
1.000000,0.067298,0.295999,-0.006726,-0.288789,0.000000,-0.957393,550.000000,147.390770
1.000000,0.066832,0.371257,-0.006343,-0.883285,0.000000,-0.468837,550.000000,450.806369
1.000000,0.067064,0.345134,-0.006610,-0.587244,0.000000,-0.809410,550.000000,299.714808
1.000000,0.066951,0.318664,-0.006510,-0.731972,0.000000,-0.681334,550.000000,373.580463
