Energy,X,Y,Z,Normal_X,Normal_Y,Normal_Z,Wavelength,Flux
1.000000,0.151709,0.099320,-0.006249,0.088491,-0.000011,0.996077,550.000000,430.146957
1.000000,0.536481,0.006036,-0.060973,0.190211,0.000001,0.981743,550.000000,332.911815
1.000000,0.041338,0.041393,0.001429,0.059326,-0.000015,0.998239,550.000000,457.032589
1.000000,0.867091,0.065432,-0.140598,0.277606,0.000012,0.960695,550.000000,244.912017
1.000000,0.518432,0.093201,-0.057522,0.185442,0.000000,0.982655,550.000000,337.592468
1.000000,0.810240,0.043356,-0.124649,0.262578,0.000010,0.964911,550.000000,260.349093
1.000000,0.622170,0.021719,-0.078606,0.212862,0.000004,0.977082,550.000000,310.508936
1.000000,0.556014,0.064139,-0.064811,0.195376,0.000002,0.980728,550.000000,327.827698
1.000000,0.045681,0.093007,0.001170,0.060475,-0.000015,0.998170,550.000000,455.981313
1.000000,0.953440,0.094564,-0.166669,0.300433,0.000015,0.953803,550.000000,221.215991
1.000000,0.031331,0.018471,0.002011,0.056679,-0.000015,0.998392,550.000000,459.450122
1.000000,0.853905,0.096353,-0.136814,0.274122,0.000011,0.961695,550.000000,248.502824
1.000000,0.497008,0.091097,-0.053543,0.179779,-0.000000,0.983707,550.000000,343.135518
1.000000,0.091536,0.055330,-0.001889,0.072595,-0.000013,0.997361,550.000000,444.854463
1.000000,0.278396,0.090528,-0.020161,0.121991,-0.000007,0.992531,550.000000,398.723705
1.000000,0.275070,0.083681,-0.019754,0.121112,-0.000007,0.992639,550.000000,399.555881
1.000000,0.323778,0.042574,-0.026018,0.133986,-0.000006,0.990983,550.000000,387.330062
1.000000,0.018687,0.043738,0.002708,0.053338,-0.000015,0.998577,550.000000,462.498015
1.000000,0.480345,0.095411,-0.050536,0.175375,-0.000001,0.984502,550.000000,347.434777
1.000000,0.536394,0.031090,-0.060957,0.190189,0.000001,0.981748,550.000000,332.933634
1.000000,0.147748,0.088970,-0.006401,0.087455,-0.000011,0.996168,550.000000,431.109356
1.000000,0.651661,0.010082,-0.085154,0.220658,0.000005,0.975351,550.000000,302.734495
1.000000,0.132128,0.031406,-0.005063,0.083325,-0.000012,0.996522,550.000000,434.941578
1.000000,0.661716,0.061246,-0.087443,0.223317,0.000005,0.974746,550.000000,300.074526
1.000000,0.170860,0.028862,-0.008502,0.093563,-0.000011,0.995613,550.000000,425.426950
1.000000,0.286554,0.055333,-0.021173,0.124146,-0.000007,0.992264,550.000000,396.681872
1.000000,0.269225,0.077344,-0.019045,0.119566,-0.000007,0.992826,550.000000,401.017646
1.000000,0.879126,0.079732,-0.144097,0.280788,0.000012,0.959770,550.000000,241.627123
1.000000,0.453084,0.047880,-0.045783,0.168167,-0.000002,0.985759,550.000000,354.447886
1.000000,0.441160,0.006056,-0.043768,0.165014,-0.000002,0.986291,550.000000,357.507056
1.000000,0.759274,0.050861,-0.111161,0.249105,0.000008,0.968476,550.000000,274.078102
1.000000,0.859303,0.020083,-0.138356,0.275546,0.000011,0.961288,550.000000,247.035630
1.000000,0.403183,0.054853,-0.037613,0.154976,-0.000003,0.987918,550.000000,367.210491
1.000000,0.255407,0.019908,-0.017407,0.115912,-0.000008,0.993259,550.000000,404.469083
1.000000,0.827066,0.093738,-0.129271,0.267027,0.000010,0.963689,550.000000,255.792129
1.000000,0.906226,0.066101,-0.152135,0.287951,0.000013,0.957645,550.000000,234.210518
